planet_name,host_star_name,system_star_number,sytem_planet_number,system_moon_number,discovery_year,discovery_facility,planet_controvercial_flag,planet_orbital_period_days,planet_radius_earth_radii,planet_mass_earth_mass,planet_orbit_eccentricity,star_temperature_kelvin,star_radius_solar_radii,star_mass_solar_mass,system_distance_parsecs
11 Com b,11 Com,2,1,0,2007,Xinglong Station,0,null,null,null,null,null,null,2.6,93.1846
11 Com b,11 Com,2,1,0,2007,Xinglong Station,0,326.03,null,null,0.231,4742.0,19.0,2.7,93.1846
11 Com b,11 Com,2,1,0,2007,Xinglong Station,0,323.21,null,null,0.238,4874.0,13.76,2.09,93.1846
11 UMi b,11 UMi,1,1,0,2009,Thueringer Landessternwarte Tautenburg,0,516.21997,null,null,0.08,4213.0,29.79,2.78,125.321
11 UMi b,11 UMi,1,1,0,2009,Thueringer Landessternwarte Tautenburg,0,null,null,null,null,null,null,1.7,125.321
11 UMi b,11 UMi,1,1,0,2009,Thueringer Landessternwarte Tautenburg,0,516.22,null,null,0.08,4340.0,24.08,1.8,125.321
14 And b,14 And,1,1,0,2008,Okayama Astrophysical Observatory,0,186.76,null,null,0.0,4888.0,11.55,1.78,75.4392
14 And b,14 And,1,1,0,2008,Okayama Astrophysical Observatory,0,null,null,null,null,null,null,1.2,75.4392
14 And b,14 And,1,1,0,2008,Okayama Astrophysical Observatory,0,185.84,null,null,0.0,4813.0,11.0,2.2,75.4392
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1773.4,null,null,0.369,null,null,null,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1766.0,null,null,0.359,5280.0,1.0,0.91,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1765.0389,null,2559.47216,0.373,null,null,0.91,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1773.40002,null,null,0.37,5338.0,0.93,0.9,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1796.4,null,null,0.338,5255.0,null,0.9,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1766.41,null,null,0.3674,5314.94,1.0,0.97,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,1724.0,null,null,0.37,null,null,1.0,17.9323
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,0,null,null,null,0.357,null,null,0.9,17.9323
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,799.45,null,null,0.6832,5711.97,1.16,0.98,21.1397
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,798.5,null,null,0.681,5674.0,null,0.99,21.1397
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,800.8,null,null,0.634,5760.0,null,1.0,21.1397
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,799.5,null,null,0.689,5747.0,1.13,1.03,21.1397
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,799.5,null,null,0.689,null,null,null,21.1397
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,0,798.5,null,null,0.68,5750.0,1.13,1.08,21.1397
17 Sco b,17 Sco,1,1,0,2020,Lick Observatory,0,578.38,null,null,0.06,4157.0,25.92,1.22,124.953
18 Del b,18 Del,2,1,0,2008,Okayama Astrophysical Observatory,0,993.3,null,null,0.08,4979.0,8.5,2.3,76.222
18 Del b,18 Del,2,1,0,2008,Okayama Astrophysical Observatory,0,982.85,null,null,0.024,4980.0,8.8,2.1,76.222
18 Del b,18 Del,2,1,0,2008,Okayama Astrophysical Observatory,0,null,null,null,null,null,null,2.1,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008,Gemini Observatory,0,null,null,4000.0,null,4060.0,null,0.85,139.135
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008,Gemini Observatory,0,null,null,3000.0,null,4060.0,null,0.85,139.135
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008,Gemini Observatory,0,null,null,3000.0,null,3993.0,1.31,0.62,139.135
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008,Gemini Observatory,0,null,18.647,2543.0,null,4060.0,1.35,0.85,139.135
24 Boo b,24 Boo,1,1,0,2018,Okayama Astrophysical Observatory,0,30.3506,null,null,0.042,4893.0,10.64,0.99,95.9863
24 Boo b,24 Boo,1,1,0,2018,Okayama Astrophysical Observatory,0,30.33,null,null,0.032,4816.0,12.19,1.05,95.9863
24 Sex b,24 Sex,1,2,0,2010,Lick Observatory,0,452.8,null,null,0.09,5098.0,4.9,1.54,72.0691
24 Sex c,24 Sex,1,2,0,2010,Lick Observatory,0,883.0,null,null,0.29,5098.0,4.9,1.54,72.0691
2M0437 b,2MASS J04372171+2651014,1,1,0,2021,Subaru Telescope,0,null,null,1271.31363,null,3100.0,0.84,0.17,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,2013,Paranal Observatory,0,null,null,4131.79,null,null,null,0.19,null
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,2013,W. M. Keck Observatory,0,null,11.209,null,null,3309.0,0.37,0.35,33.8281
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,2013,W. M. Keck Observatory,0,null,null,7786.5,null,3530.0,null,0.4,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,2015,Cerro Tololo Inter-American Observatory,0,null,16.141,4417.837,null,3064.0,0.28,0.11,null
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,0,2018,Mauna Kea Observatory,0,null,null,3686.80952,null,null,null,0.05,66.0613
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,0,null,null,5720.91133,null,null,null,null,117.435
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,2010,Hubble Space Telescope,0,null,null,2383.6,null,null,null,0.02,null
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,0,null,null,8899.1954,null,null,null,null,null
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,0,null,null,6356.56814,null,null,null,null,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,2004,Paranal Observatory,0,null,null,1589.15,null,null,null,0.02,64.308
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,2004,Paranal Observatory,0,null,null,1271.0,null,2825.0,0.22,0.19,64.308
